Qty,Value,Device,Package,Parts
2,0 ohms,R-US_R0805,R0805,"R1, R3"
6,10k/5%,R-US_R0805,R0805,"R21, R22, R26, R27, R28, R30"
2,10uF/16V/X5R,C-USC0805,C0805,"C1, C2"
1,1k/5%,R-US_R0805,R0805,R25
6,1uF/16V/X7R,C-USC0805,C0805,"C6, C7, C9, C10, C11, C12"
17,270/5%,R-US_R0805,R0805,"R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20"
1,CIG22L4R7MNE,CIG22L4R7MNE,L-1008-US,L1
1,JS202011SCQN,JS202011SCQN,SW_JS202011SCQN,S1
1,PAM2301CAAB330,PAM2301CAAB330,SOT95P280X100-5N,U2
2,PSA08-11SRWA,PSA08-11SRWA,PSA08-11SRWA,"D1, D2"
1,RK7002BMT116,NMOSSOT23,SOT-23,T1
1,M20-7870246,M20-7870246,2X2-0.1INCH-FEMALE-SMT,H3
1,STM32F030C6T6TR,STM32F030C6T6TR,LQFP48,U1
